vehicleId,duration_sec,distance_km,avg_speed,max_speed,speed_std,mean_accel,max_accel,accel_std,count_hard_brakes,harsh_accel_count,idling_time,stop_count,day_of_week,hour_of_day
MAT797053N3J27103,0.0,1.80886125e-10,9.76157969387755,22.848435,9.960094331800434,-490240.0575614699,365125833.3333333,272098689.82543457,3.0,3.0,2.7e-07,2.0,3.0,0.0
MAT797076P1G21842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,3.0,0.0
MAT797077P1D12189,1e-06,2.9847504540824464e-10,0.5366042922383137,1.2916053488372092,0.5998692516264932,257227.5849414337,1915816.854990583,928415.6090176287,2.0,2.0,6.100000000000001e-07,1.0,3.0,0.0
MAT797077P5E05957,1e-06,1.1003074156751186e-09,10.367166245468189,29.470310583333344,10.539505815187724,16047114.073960027,546932868.0555557,242476235.74040297,6.0,7.0,7.1e-07,1.0,3.0,0.0
MAT797077P5E06030,1e-06,2.8780840238891355e-10,2.079313253676194,4.607029833333336,1.6467450412258615,-12795912.038657047,71983487.4338625,47072753.03177477,4.0,3.0,7.1e-07,2.0,3.0,0.0
MAT797077P5E06031,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0
MAT797083P1E13105,1e-06,1.530769913693661e-08,35.260313145555344,60.04036208333336,23.058355272694257,13505558.650084637,1268728238.4259264,345241081.9404111,27.0,34.0,4.2e-07,4.0,3.0,0.0
MAT799009M1B04625,2e-06,1.8740785460847794e-09,1.8473457038857037,35.935936000000005,4.93763819884802,101324.8250095471,278124944.4444445,82361490.82152015,22.0,25.0,1.5800000000000001e-06,7.0,3.0,0.0
MAT799009M1B05675,2e-06,8.478670460423681e-09,13.153392541330739,54.44270777777777,17.331558590827704,1985480.418464665,774715415.2637485,222765716.6975776,28.0,25.0,1.2599999999999994e-06,5.0,3.0,0.0
MAT799009M1B05722,1e-06,2.554227967592592e-09,10.559430119047619,47.36718333333334,17.857176545187922,117192070.95616023,819842268.5185186,300726953.82205564,2.0,4.0,1.6199999999999997e-06,2.0,3.0,0.0
MAT800020P8E06900,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0
MAT800303M8D07161,0.0,1.5950145351851854e-09,20.366586316666663,36.02109,11.375248481824771,-51254188.18783069,464301194.4444445,296508310.7780334,9.0,10.0,9e-08,1.0,3.0,0.0
MAT800315M8A01925,0.0,8.207970627495189e-10,12.019884187364719,25.181245000000004,9.676988792211107,-118906721.9215969,245431840.27777797,269652207.4112559,4.0,3.0,1e-08,1.0,3.0,0.0
MAT802009L3G06134,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35e-06,0.0,3.0,0.0
MAT802009L3H06763,1e-06,8.630497989132781e-10,3.2077023714282795,11.880206666666666,3.7006248358718175,-2364924.969959785,180978722.2222222,83842781.23926054,19.0,14.0,4.6999999999999995e-07,7.0,3.0,0.0
MAT802009M3A02491,1e-06,4.262938304824033e-09,12.137810279875476,33.52656,11.189603811138046,-5172830.230001862,664843722.2222222,279157663.2267153,23.0,29.0,2.5000000000000004e-07,6.0,3.0,0.0
MAT802009M3B03577,0.0,2.3242522927689594e-11,4.13062037037037,6.113837142857142,1.9323675149376611,19345224.867724854,107232389.77072306,79988714.90300569,1.0,1.0,0.0,0.0,3.0,0.0
MAT802009M3B03668,1e-06,2.763981147836269e-09,11.303991844732751,28.185936,10.989634512757817,-27584525.697292466,404312654.04040426,169777062.23070243,19.0,15.0,3.2e-07,6.0,3.0,0.0
MAT802011M3B04293,1e-06,8.33144592824074e-10,12.053843909722223,48.11979,14.765879914205732,11503606.480409808,635532416.6666667,339209364.5532457,4.0,6.0,1.0099999999999999e-06,2.0,3.0,0.0
MAT802020M3B05341,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3499999999999995e-06,0.0,3.0,0.0
MAT802027M3D09334,2e-06,7.812674085963803e-09,7.731167338874861,29.162498,7.66683881838349,-16408901.730567047,761762111.111111,252254746.6885035,16.0,16.0,1.9000000000000003e-07,6.0,3.0,0.0
MAT802027M3J18536,1e-06,1.0417701041035353e-09,6.720681430250784,25.565622,8.78955776684542,-12134298.510971779,416319416.6666666,193279278.52211356,12.0,9.0,8.4e-07,4.0,3.0,0.0
MAT802027M3J18593,2e-06,7.29064366026936e-09,8.816267095238095,26.592185,9.547280754717011,-13919405.774306212,371354083.3333334,150497353.46957648,11.0,15.0,1.09e-06,3.0,3.0,0.0
MAT802027N3B05925,1e-06,1.8743118078517932e-09,5.853823676516573,17.701560999999998,5.251302384012115,14516143.920590598,482595444.4444444,164857211.66758296,22.0,17.0,3.6e-07,6.0,3.0,0.0
MAT802027N3E13710,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0
MAT802027N3E14360,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3500000000000004e-06,0.0,3.0,0.0
MAT802027N3E14490,0.0,7.275558793350169e-10,7.2957239600550965,10.360935,4.052820015730078,-46542497.348484844,46513305.55555556,95859405.33747977,6.0,4.0,2e-08,2.0,3.0,0.0
MAT802027N3E14506,1e-06,9.620068507054673e-10,3.093620043441938,14.850693333333336,4.319384010380776,-10009359.413855527,185652981.48148152,94532546.92777461,7.0,9.0,7.900000000000001e-07,5.0,3.0,0.0
MAT802027N3F17416,0.0,7.091996296296297e-11,0.1343746666666667,0.6718733333333334,0.3004708891205418,-3634402.5341130607,491135.47758284607,8404015.468173964,1.0,1.0,9.200000000000001e-07,0.0,3.0,0.0
MAT802027N3G21690,2e-06,1.3598346119929454e-10,1.3032915354497352,5.107638888888889,1.9243290718844661,3379581.496178718,78732583.33333334,21806790.48797197,4.0,3.0,2.07e-06,2.0,3.0,0.0
MAT802027N3H21698,1e-06,3.1540732383530052e-09,6.64763010151753,32.179686000000004,10.011007469045609,-10076522.196071438,690494722.2222222,221535138.1547349,15.0,17.0,5.7e-07,8.0,3.0,0.0
MAT802027N3H21699,1e-06,4.048178646848444e-09,8.83251307727689,35.60156,9.748291358370121,-18138297.20233415,485937416.6666666,225122882.23758775,23.0,25.0,5.9e-07,6.0,3.0,0.0
MAT802027N3H22660,1e-06,2.8055276322885452e-09,10.19527412780105,34.909373,9.297038267438449,12062219.295938516,539043086.4197532,246165924.6431718,26.0,26.0,4.9e-07,12.0,3.0,0.0
MAT802027N3H22669,0.0,1.0853451990079365e-09,8.664998870257193,19.82244181818181,8.243865486954247,-34387229.235712245,503314343.43434346,286742576.94221544,9.0,7.0,5e-08,4.0,3.0,0.0
MAT802027N3K27889,1e-06,1.878604034476172e-09,8.515861360166522,29.603121000000005,10.466275331433387,673520.7424769249,702907993.0555556,277942232.92303693,21.0,17.0,7.699999999999999e-07,5.0,3.0,0.0
MAT802027N3K28013,0.0,1.7538104897727272e-09,7.082496863333334,27.785935,8.38728002504804,-6071600.289562291,742968694.4444444,280868384.52307737,24.0,25.0,2.8e-07,13.0,3.0,0.0
MAT802027N3N33385,1e-06,0.0,0.17187480000000002,0.8593740000000001,0.38432373641918094,-4774300.0,0.0,10675659.344977247,1.0,0.0,1.0299999999999999e-06,0.0,3.0,0.0
MAT802027P3A00238,1e-06,2.434119777230671e-09,9.163920778890795,30.015624000000003,7.764739273989407,-8639718.07777126,682091054.2929292,280479578.39900976,31.0,24.0,6.000000000000001e-07,9.0,3.0,0.0
MAT802028MGC00308,0.0,7.839476884469698e-10,9.125320228409091,32.704685,10.74671744369637,38968982.979797974,647743083.3333334,225699639.40762347,7.0,8.0,2.3000000000000002e-07,1.0,3.0,0.0
MAT802029M3C05937,1e-06,7.094532725579976e-10,8.74476896437729,37.921873,11.200543436511056,55472516.25070145,661357027.7777777,271286084.2581195,6.0,9.0,1e-06,3.0,3.0,0.0
MAT802029M3C06079,0.0,2.7249419886363638e-11,0.5948959399350648,1.60156125,0.556616194118283,4450697.285353535,35609984.21717172,21687500.514000908,5.0,8.0,1.8e-07,2.0,3.0,0.0
MAT802031M3E11491,2e-06,1.4605027777777774e-11,0.11684022222222222,1.7526033333333333,0.45252023483384046,432741.5637860082,16227808.641975308,5037968.9274870735,1.0,1.0,2.27e-06,1.0,3.0,0.0
MAT802031N3H22390,2e-06,3.962408482056832e-09,15.07681524278586,44.893747000000005,14.658621623321961,-3098355.717483282,1050028925.9259257,516272991.2731458,31.0,29.0,1.5399999999999999e-06,12.0,3.0,0.0
